I,K, step, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace
20,4,10,30,9,200817,578,218157,200817,205472,578,1443,218157,248180,6500,32250,248180,248762,0.00234507,959,204890,1443,1.020282147,2.496539792
20,4,10,30,10,196931,578,214271,196931,202262,578,1443,214271,245307,5458,28250,245307,245552,0.000998749,792,202017,1443,1.025826305,2.496539792
20,4,10,35,1,185894,578,206124,185894,190799,578,1443,206124,240956,6333,31750,240956,241304,0.00144425,834,190451,1443,1.02451397,2.496539792
20,4,10,35,2,196720,578,216950,196720,201490,578,1443,216950,251335,6208,32625,251335,251995,0.00262598,625,200830,1443,1.020892639,2.496539792
20,4,10,35,3,194965,578,215195,194965,200194,578,1443,215195,250237,6583,28000,250237,250699,0.00184625,708,199732,1443,1.024450542,2.496539792
20,4,10,35,4,199430,578,219660,199430,204304,578,1443,219660,254541,6500,31458,254541,254809,0.00105288,709,204036,1443,1.023095823,2.496539792
20,4,10,35,5,203129,578,223359,203129,208303,578,1443,223359,258325,5917,24250,258325,258808,0.00186974,625,207820,1443,1.023093699,2.496539792
20,4,10,35,6,190603,578,210833,190603,195715,578,1443,210833,246098,7000,32667,246098,246220,0.000495737,959,195593,1443,1.026180071,2.496539792
20,4,10,35,7,193510,578,213740,193510,198402,578,1443,213740,248623,7500,24042,248623,248907,0.00114229,709,198118,1443,1.023812723,2.496539792
20,4,10,35,8,194827,578,215057,194827,199468,578,1443,215057,249819,7583,23500,249819,249973,0.000616446,625,199314,1443,1.023030689,2.496539792
20,4,10,35,9,195909,578,216139,195909,200932,578,1443,216139,250806,5792,30333,250806,251437,0.00251589,791,200301,1443,1.022418572,2.496539792
20,4,10,35,10,187636,578,207866,187636,193294,578,1443,207866,243606,6542,31292,243606,243799,0.000792263,708,193101,1443,1.029125541,2.496539792
20,4,10,40,1,200656,578,223776,200656,206047,578,1443,223776,263287,7417,27542,263287,263767,0.00182311,709,205567,1443,1.024474723,2.496539792
20,4,10,40,2,196170,578,219290,196170,201693,578,1443,219290,259012,7292,32250,259012,259413,0.00154819,917,201292,1443,1.026110007,2.496539792
20,4,10,40,3,186659,578,209779,186659,191447,578,1443,209779,249061,7000,33167,249061,249167,0.000425599,1042,191341,1443,1.025083173,2.496539792
20,4,10,40,4,199041,578,222161,199041,204073,578,1443,222161,261256,6708,32417,261256,261793,0.00205546,667,203536,1443,1.022583287,2.496539792
20,4,10,40,5,192579,578,215699,192579,197045,578,1443,215699,254464,6708,32334,254464,254765,0.00118288,875,196744,1443,1.021627488,2.496539792
20,4,10,40,6,196083,578,219203,196083,201100,578,1443,219203,258543,7000,25667,258543,258820,0.00107139,708,200823,1443,1.024173437,2.496539792
20,4,10,40,7,194333,578,217453,194333,199769,578,1443,217453,256988,7125,25625,256988,257489,0.00194951,625,199268,1443,1.025394555,2.496539792
20,4,10,40,8,192105,578,215225,192105,196565,578,1443,215225,253815,6958,30875,253815,254285,0.00185174,833,196095,1443,1.020769891,2.496539792
20,4,10,40,9,192258,578,215378,192258,197324,578,1443,215378,254835,5375,24625,254835,255044,0.000820139,792,197115,1443,1.025262928,2.496539792
20,4,10,40,10,198406,578,221526,198406,203693,578,1443,221526,261243,5542,27416,261243,261413,0.000650735,667,203523,1443,1.025790551,2.496539792
20,4,10,45,1,183405,578,209415,183405,187593,578,1443,209415,252367,7334,24584,252367,252528,0.00063796,833,187432,1443,1.021956871,2.496539792
20,4,10,45,2,196274,578,222284,196274,201469,578,1443,222284,265996,6709,29708,265996,266404,0.00153386,792,201061,1443,1.024389374,2.496539792
20,4,10,45,3,183651,578,209661,183651,188089,578,1443,209661,252962,6458,31750,252962,253024,0.000245096,625,188027,1443,1.023827804,2.496539792
20,4,10,45,4,202326,578,228336,202326,206754,578,1443,228336,271349,7042,33542,271349,271689,0.001253,708,206414,1443,1.020205016,2.496539792
20,4,10,45,5,193876,578,219886,193876,198725,578,1443,219886,263434,6834,29375,263434,263660,0.0008579,625,198499,1443,1.023845138,2.496539792
20,4,10,45,6,188201,578,214211,188201,192697,578,1443,214211,257620,6459,30167,257620,257632,4.66E-05,958,192685,1443,1.023825591,2.496539792
20,4,10,45,7,197658,578,223668,197658,202799,578,1443,223668,267564,5459,25875,267564,267734,0.000635362,667,202629,1443,1.025149501,2.496539792
