I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst
60,14,3,0,0,0,913656,0,0,0,0,956142,0.00183132,0,0
60,14,4,0,0,0,863304,0,0,0,0,2.85133e+06,0.0333219,0,0
60,14,5,0,0,0,692223,0,0,0,0,2.46666e+06,0.0253786,0,0
80,14,1,0,0,0,966924,0,0,0,0,1.78501e+06,0.0177121,0,0
80,14,2,0,0,0,932283,0,0,0,0,1.98769e+06,0.0219454,0,0
80,14,3,0,0,0,944768,0,0,0,0,1.21978e+06,0.00811455,0,0
80,14,4,0,0,0,903694,0,0,0,0,1.43811e+06,0.0121567,0,0
80,14,5,0,0,0,1.31977e+06,0,0,0,0,1.63246e+06,0,0,0
100,14,1,0,0,0,1.43299e+06,0,0,0,0,1.53808e+06,0,0,0
100,14,2,0,0,0,1.35980e+06,0,0,0,0,2.39852e+06,0.0185364,0,0
100,14,3,0,0,0,1.66863e+06,0,0,0,0,2.40842e+06,0.0160288,0,0
100,14,4,0,0,0,1.19780e+06,0,0,0,0,2.4808e+06,0.019813,0,0
100,14,5,0,0,0,1.29826e+06,0,0,0,0,3.8798e+06,0.0303287,0,0
20,16,1,0,0,0,291279,0,0,0,0,727329,0.0241187,0,0
20,16,2,0,0,0,335188,0,0,0,0,438446,0.0103274,0,0
20,16,3,0,0,0,299369,0,0,0,0,1.07389e+06,0.0236616,0,0
20,16,4,0,0,0,348988,0,0,0,0,1.09275e+06,0.0240658,0,0
20,16,5,0,0,0,292174,0,0,0,0,694951,0.0230044,0,0
40,16,1,0,0,0,709864,0,0,0,0,2.04348e+06,0.0216053,0,0
40,16,2,0,0,0,769668,0,0,0,0,2.60754e+06,0.0285035,0,0
40,16,3,0,0,0,793836,0,0,0,0,966587,0.00627569,0,0
40,16,4,0,0,0,654396,0,0,0,0,1.15244e+06,0.00789539,0,0
40,16,5,0,0,0,466077,0,0,0,0,1.30987e+06,0.0193187,0,0
60,16,1,0,0,0,630028,0,0,0,0,2.21287e+06,0.029737,0,0
60,16,2,0,0,0,898343,0,0,0,0,2.17537e+06,0.025204,0,0
60,16,3,0,0,0,762739,0,0,0,0,2.47457e+06,0.0233576,0,0
60,16,4,0,0,0,978085,0,0,0,0,2.42728e+06,0.0264889,0,0
60,16,5,0,0,0,912050,0,0,0,0,2.81757e+06,0.0248044,0,0
80,16,1,0,0,0,1.23578e+06,0,0,0,0,3.04974e+06,0.0206805,0,0
80,16,2,0,0,0,1.28504e+06,0,0,0,0,3.68895e+06,0.0246945,0,0
80,16,3,0,0,0,1.21135e+06,0,0,0,0,1.76921e+06,0.0082334,0,0
